respondent_id,respondent_type,business_name,state,occupation_or_business_type,household_size,num_employees,monthly_household_income,monthly_business_revenue,energy_source,grid_hours_per_day,power_outage_hours,fuel_spend,daily_energy_spend,satisfaction,challenge,appliances,peak_energy_requirement_W,shortfall_frequency,willingness_to_pay,max_extra_hourly_fee,payment_method,payment_cycle,insufficient_action,microgrid_appeal,microgrid_factors,rental_concerns,recommend_likelihood,improvements,focus_group_interest,other_comments,photo,gps_latitude,gps_longitude,gps_altitude,gps_accuracy
ID-072,Workshop,Prime Tech,"Abuja FCT, Nigeria",Workshop,,More than 20,,"₦250,000–₦500,000",Fossil generator,11–18,More than 6 hours,"₦1,000–₦3,000","₦3,000–₦5,000",Very satisfied,Insufficient capacity to power all devices,"Machinery, Lights, POS terminal, TV",200 W,Every day,"₦3,000",₦500,Bank transfer,Daily,Rent an additional battery,Not appealing,"Reliable service (24/7 availability), Ability to charge/discharge flexibly, Lower rental cost due to shared surplus","Maintenance/damage responsibility, High daily cost compared to current method, Insufficient capacity to power all devices",Probably would recommend,Better monitoring,Yes,Beyond,photo_072.jpg,9.521803837,7.326124151,533.3107746,18.28552977
ID-073,Household (non-business),,"Abuja FCT, Nigeria",Retail Shop,3,,"₦20,000–₦50,000",,National Grid,5–10,Daily outages,"More than ₦5,000","₦1,000–₦3,000",Very dissatisfied,Noise or pollution (if using generator),"TV, Lights, Fridge, POS terminal",2000 W,Every day,"₦7,000",₦1000,POS/Mobile App,Monthly,Top up with generator/fuel,Not appealing,Lower rental cost due to shared surplus,"Insufficient capacity to power all devices, Unreliable availability of charged units, High daily cost compared to current method",Definitely would recommend,None,Yes,-,photo_073.jpg,9.455636819,7.286985767,503.5808729,12.91259996
ID-074,Household (non-business),,"Abuja FCT, Nigeria",Repair/Services,2,,"₦100,000–₦200,000",,Fossil generator,5–10,More than 6 hours,"₦1,000–₦3,000","More than ₦5,000",Very satisfied,Unreliable availability of charged units,"Lights, Machinery, POS terminal, Fridge",1000 W,Every day,"₦3,000",₦500,POS/Mobile App,Weekly,Rent an additional battery,Not appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability)",Difficulty/delay in exchanging batteries,Definitely would recommend,Faster exchange,Yes,I don’t know,photo_074.jpg,9.381503032,7.563162105,538.1947732,13.98203172
ID-075,Shop,Unity Ventures,"Abuja FCT, Nigeria",Retail Shop,,More than 20,,"₦50,000–₦250,000",National Grid,11–18,More than 6 hours,"₦3,000–₦5,000","₦1,000–₦3,000",Very satisfied,High daily cost compared to current method,"TV, Lights, Machinery, Fan, Mobile phone charger",1000 W,1–3 times per week,"₦5,000",₦500,Cash,Daily,Rent an additional battery,Appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus, Ability to charge/discharge flexibly","Unreliable availability of charged units, Insufficient capacity to power all devices, High daily cost compared to current method",Definitely would recommend,None,No,I don’t know,photo_075.jpg,9.55667106,7.44135755,539.1182145,13.41948797
ID-076,Workshop,Green Ventures,"Abuja FCT, Nigeria",Retail Shop,,More than 20,,"₦50,000–₦250,000",National Grid,5–10,More than 6 hours,"₦1,000–₦3,000","₦3,000–₦5,000",Satisfied,High daily cost compared to current method,"Machinery, Fridge",500 W,Every day,"₦4,000",₦500,Cash,Pay-as-you-use,Top up with generator/fuel,Slightly appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus, Ability to charge/discharge flexibly","Difficulty/delay in exchanging batteries, Unreliable availability of charged units",Probably would recommend,None,Yes,None,photo_076.jpg,9.378358269,7.77697765,535.6765515,12.01241
ID-077,Shop,Capital Solutions,"Abuja FCT, Nigeria",Office/Consulting,,20-Nov,,"₦50,000–₦250,000",Fossil generator,5–10,Daily outages,"More than ₦5,000","₦3,000–₦5,000",Satisfied,Insufficient capacity to power all devices,"Fridge, POS terminal, Mobile phone charger",300 W,1–3 times per week,"₦3,000",₦1000,Bank transfer,Monthly,Switch back to current method,Appealing,Reliable service (24/7 availability),"High daily cost compared to current method, Unreliable availability of charged units, Insufficient capacity to power all devices",Definitely would recommend,Lower cost,No,None,photo_077.jpg,9.158961496,7.518445629,527.0616584,14.78170562
ID-078,MSME,Top Stores,"Abuja FCT, Nigeria",Restaurant/Catering,,5-Feb,,"Above ₦1,000,000",None,5–10,More than 6 hours,"₦1,000–₦3,000","₦1,000–₦3,000",Dissatisfied,Unreliable availability of charged units,"Fan, Mobile phone charger, Machinery, Lights",100 W,4–6 times per week,"₦7,000",₦1000,Bank transfer,Weekly,Rent an additional battery,Appealing,Lower rental cost due to shared surplus,"Unreliable availability of charged units, Insufficient capacity to power all devices, High daily cost compared to current method",Would not recommend,Faster exchange,Yes,Beyond,photo_078.jpg,9.22314027,7.782219233,502.7191026,10.10567611
ID-079,Shop,Royal Tech,"Abuja FCT, Nigeria",Office/Consulting,,20-Nov,,"₦250,000–₦500,000",Mixed sources,5–10,Daily outages,"₦1,000–₦3,000","More than ₦5,000",Very dissatisfied,Unreliable availability of charged units,"POS terminal, Lights",2000 W,1–3 times per week,"₦3,000",₦1000,POS/Mobile App,Weekly,Top up with generator/fuel,Slightly appealing,"Ability to charge/discharge flexibly, Reliable service (24/7 availability)","High daily cost compared to current method, Insufficient capacity to power all devices, Maintenance/damage responsibility",Definitely would recommend,Faster exchange,No,None,photo_079.jpg,9.429960618,7.285928334,513.4464956,10.6130844
ID-080,MSME,Metro Collections,"Abuja FCT, Nigeria",Repair/Services,,20-Nov,,"₦250,000–₦500,000",Mixed sources,5–10,2–4 hours,"₦1,000–₦3,000","₦1,000–₦3,000",Very satisfied,Insufficient capacity to power all devices,"Fan, Mobile phone charger",100 W,4–6 times per week,"₦6,000",₦500,POS/Mobile App,Monthly,Switch back to current method,Moderately appealing,"Ability to charge/discharge flexibly, Reliable service (24/7 availability), Lower rental cost due to shared surplus",Maintenance/damage responsibility,Would not recommend,Faster exchange,Yes,I don’t know,photo_080.jpg,9.141166961,7.468455699,541.9924018,13.03150487
ID-081,Household (non-business),,"Abuja FCT, Nigeria",Repair/Services,6,,"₦20,000–₦50,000",,Fossil generator,11–18,2–4 hours,"₦1,000–₦3,000","₦3,000–₦5,000",Very satisfied,Unreliable availability of charged units,"Machinery, Fridge",100 W,Rarely,"₦6,000",₦300,Cash,Pay-as-you-use,Top up with generator/fuel,Not appealing,"Ability to charge/discharge flexibly, Reliable service (24/7 availability), Lower rental cost due to shared surplus","Maintenance/damage responsibility, Unreliable availability of charged units, High daily cost compared to current method",Probably would recommend,More flexibility,No,Beyond,photo_081.jpg,9.0265892,7.452416382,529.7613311,18.63176176
ID-082,Shop,Prime Ventures,"Abuja FCT, Nigeria",Repair/Services,,20-Nov,,"₦50,000–₦250,000",None,11–18,Daily outages,"₦3,000–₦5,000","₦1,000–₦3,000",Very dissatisfied,Insufficient capacity to power all devices,"Lights, Mobile phone charger",300 W,Every day,"₦6,000",₦300,Cash,Daily,Rent an additional battery,Slightly appealing,Lower rental cost due to shared surplus,"Maintenance/damage responsibility, High daily cost compared to current method",Definitely would recommend,More flexibility,Yes,Beyond,photo_082.jpg,9.055984162,7.609935624,525.2482172,10.05361488
ID-083,Shop,Royal Ventures,"Abuja FCT, Nigeria",Retail Shop,,Just me (sole proprietor),,"₦250,000–₦500,000",Solar,5–10,More than 6 hours,"More than ₦5,000","₦1,000–₦3,000",Very satisfied,Noise or pollution (if using generator),"Lights, TV",100 W,4–6 times per week,"₦3,000",₦300,POS/Mobile App,Weekly,Switch back to current method,Appealing,"Lower rental cost due to shared surplus, Ability to charge/discharge flexibly",Insufficient capacity to power all devices,Probably would recommend,Better monitoring,Yes,None,photo_083.jpg,9.418897995,7.762485697,506.5989713,14.45278819
ID-084,Household (non-business),,"Abuja FCT, Nigeria",Repair/Services,6,,"₦50,000–₦100,000",,Fossil generator,11–18,More than 6 hours,"₦1,000–₦3,000","More than ₦5,000",Satisfied,Noise or pollution (if using generator),"POS terminal, Mobile phone charger",300 W,1–3 times per week,"₦6,000",₦300,Cash,Pay-as-you-use,Rent an additional battery,Appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability), Ability to charge/discharge flexibly",High daily cost compared to current method,Definitely would recommend,Lower cost,Yes,-,photo_084.jpg,9.366417044,7.3472363,508.0472493,13.36722173
ID-085,MSME,Metro Ventures,"Abuja FCT, Nigeria",Restaurant/Catering,,10-Jun,,"Above ₦1,000,000",Fossil generator,11–18,More than 6 hours,"₦1,000–₦3,000","₦1,000–₦3,000",Dissatisfied,Unreliable availability of charged units,"Lights, Fridge, Machinery",1000 W,Every day,"₦7,000",₦1000,POS/Mobile App,Monthly,Switch back to current method,Appealing,Reliable service (24/7 availability),"Unreliable availability of charged units, Difficulty/delay in exchanging batteries",Definitely would recommend,Faster exchange,Yes,I don’t know,photo_085.jpg,9.050384739,7.560531225,533.3905334,16.54147823
ID-086,Shop,Royal Collections,"Abuja FCT, Nigeria",Mobile Trader,,Just me (sole proprietor),,"₦500,000–₦1,000,000",Mixed sources,0–4,2–4 hours,"₦3,000–₦5,000","More than ₦5,000",Dissatisfied,Noise or pollution (if using generator),"TV, Mobile phone charger",1000 W,1–3 times per week,"₦4,000",₦300,Bank transfer,Daily,Switch back to current method,Appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus",Insufficient capacity to power all devices,Definitely would recommend,Faster exchange,Yes,-,photo_086.jpg,9.237491097,7.266839352,522.1448398,19.73872994
ID-087,Household (non-business),,"Abuja FCT, Nigeria",Workshop,4,,"₦100,000–₦200,000",,Solar,11–18,More than 6 hours,"₦3,000–₦5,000","More than ₦5,000",Very dissatisfied,Noise or pollution (if using generator),"Fridge, Mobile phone charger",200 W,4–6 times per week,"₦4,000",₦1000,POS/Mobile App,Weekly,Top up with generator/fuel,Slightly appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability)","Insufficient capacity to power all devices, Difficulty/delay in exchanging batteries",Probably would recommend,More flexibility,Yes,I don’t know,photo_087.jpg,9.590746786,7.268924733,516.9504764,16.26955422
ID-088,Shop,Golden Ventures,"Abuja FCT, Nigeria",Workshop,,5-Feb,,"₦500,000–₦1,000,000",Mixed sources,5–10,Daily outages,"₦1,000–₦3,000","₦3,000–₦5,000",Satisfied,Unreliable availability of charged units,"Machinery, TV",300 W,Rarely,"₦4,000",₦300,Bank transfer,Daily,Switch back to current method,Slightly appealing,Ability to charge/discharge flexibly,"Maintenance/damage responsibility, Unreliable availability of charged units",Would not recommend,Better monitoring,Yes,-,photo_088.jpg,9.486636926,7.736267285,526.4980513,19.1020329
ID-089,MSME,Bright Stores,"Abuja FCT, Nigeria",Retail Shop,,Just me (sole proprietor),,"₦50,000–₦250,000",National Grid,5–10,More than 6 hours,"₦3,000–₦5,000","More than ₦5,000",Satisfied,Unreliable availability of charged units,"TV, Fridge, Machinery, Mobile phone charger",1000 W,Rarely,"₦4,000",₦500,Cash,Pay-as-you-use,Rent an additional battery,Not appealing,Ability to charge/discharge flexibly,"High daily cost compared to current method, Difficulty/delay in exchanging batteries, Insufficient capacity to power all devices",Would not recommend,None,No,-,photo_089.jpg,9.423696798,7.381862455,539.0390102,19.81806411
ID-090,Workshop,Royal Solutions,"Abuja FCT, Nigeria",Workshop,,5-Feb,,"₦500,000–₦1,000,000",None,0–4,Daily outages,"₦1,000–₦3,000","₦1,000–₦3,000",Dissatisfied,Noise or pollution (if using generator),"Lights, POS terminal, Mobile phone charger",100 W,1–3 times per week,"₦7,000",₦1000,POS/Mobile App,Daily,Top up with generator/fuel,Appealing,"Reliable service (24/7 availability), Ability to charge/discharge flexibly, Lower rental cost due to shared surplus",Unreliable availability of charged units,Probably would recommend,More flexibility,Yes,Beyond,photo_090.jpg,9.55758373,7.340077851,506.2855731,18.44080254
ID-091,MSME,Green Ventures,"Abuja FCT, Nigeria",Retail Shop,,Just me (sole proprietor),,"₦250,000–₦500,000",Mixed sources,5–10,More than 6 hours,"₦3,000–₦5,000","₦3,000–₦5,000",Dissatisfied,Noise or pollution (if using generator),"TV, Fridge, POS terminal, Machinery, Lights",2000 W,4–6 times per week,"₦6,000",₦300,POS/Mobile App,Daily,Top up with generator/fuel,Not appealing,Ability to charge/discharge flexibly,"High daily cost compared to current method, Unreliable availability of charged units",Would not recommend,None,Yes,-,photo_091.jpg,9.507519028,7.566729045,512.4522707,19.33989804
ID-092,Household (non-business),,"Abuja FCT, Nigeria",Office/Consulting,4,,"₦20,000–₦50,000",,Solar,5–10,Daily outages,"₦1,000–₦3,000","₦1,000–₦3,000",Dissatisfied,High daily cost compared to current method,"Fan, Fridge, Machinery, Mobile phone charger",100 W,Rarely,"₦6,000",₦300,POS/Mobile App,Pay-as-you-use,Switch back to current method,Not appealing,Reliable service (24/7 availability),"Difficulty/delay in exchanging batteries, Insufficient capacity to power all devices, High daily cost compared to current method",Definitely would recommend,Faster exchange,Yes,None,photo_092.jpg,9.170578631,7.795688662,501.1485321,13.62385909
ID-093,Household (non-business),,"Abuja FCT, Nigeria",Office/Consulting,7,,"₦100,000–₦200,000",,None,5–10,2–4 hours,"More than ₦5,000","More than ₦5,000",Satisfied,Insufficient capacity to power all devices,"Machinery, POS terminal",300 W,4–6 times per week,"₦7,000",₦500,POS/Mobile App,Pay-as-you-use,Rent an additional battery,Moderately appealing,Reliable service (24/7 availability),"Maintenance/damage responsibility, High daily cost compared to current method, Difficulty/delay in exchanging batteries",Would not recommend,None,Yes,-,photo_093.jpg,9.530091054,7.228648512,541.6487126,14.29721025
ID-094,Workshop,Unity Foods,"Abuja FCT, Nigeria",Repair/Services,,More than 20,,"₦250,000–₦500,000",Mixed sources,0–4,More than 6 hours,"More than ₦5,000","More than ₦5,000",Dissatisfied,Noise or pollution (if using generator),"Machinery, Lights, TV, POS terminal",1000 W,Rarely,"₦3,000",₦300,Bank transfer,Pay-as-you-use,Switch back to current method,Moderately appealing,"Ability to charge/discharge flexibly, Lower rental cost due to shared surplus, Reliable service (24/7 availability)","Maintenance/damage responsibility, Unreliable availability of charged units",Would not recommend,Lower cost,No,I don’t know,photo_094.jpg,9.157493951,7.707025479,535.9175385,11.57180172
ID-095,Household (non-business),,"Abuja FCT, Nigeria",Restaurant/Catering,8,,"₦50,000–₦100,000",,Fossil generator,11–18,More than 6 hours,"₦1,000–₦3,000","₦3,000–₦5,000",Very dissatisfied,Insufficient capacity to power all devices,"Mobile phone charger, Lights",2000 W,4–6 times per week,"₦6,000",₦1000,Bank transfer,Daily,Rent an additional battery,Not appealing,Ability to charge/discharge flexibly,"Maintenance/damage responsibility, Difficulty/delay in exchanging batteries, High daily cost compared to current method",Probably would recommend,Better monitoring,No,Beyond,photo_095.jpg,9.323188915,7.762646412,501.2821786,12.70461196
ID-096,Workshop,Prime Ventures,"Abuja FCT, Nigeria",Mobile Trader,,Just me (sole proprietor),,"₦250,000–₦500,000",Fossil generator,5–10,More than 6 hours,"₦1,000–₦3,000","₦3,000–₦5,000",Dissatisfied,High daily cost compared to current method,"POS terminal, TV, Mobile phone charger, Fan, Machinery",1000 W,4–6 times per week,"₦6,000",₦1000,POS/Mobile App,Daily,Switch back to current method,Slightly appealing,Reliable service (24/7 availability),Unreliable availability of charged units,Would not recommend,More flexibility,Yes,-,photo_096.jpg,9.541774937,7.340665128,501.6728087,16.30189907
ID-097,Shop,Metro Ventures,"Abuja FCT, Nigeria",Workshop,,More than 20,,"₦500,000–₦1,000,000",National Grid,0–4,Daily outages,"₦1,000–₦3,000","₦1,000–₦3,000",Dissatisfied,Noise or pollution (if using generator),"Fridge, Lights, TV, Machinery",500 W,1–3 times per week,"₦3,000",₦1000,Bank transfer,Pay-as-you-use,Top up with generator/fuel,Appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability)","Maintenance/damage responsibility, High daily cost compared to current method, Unreliable availability of charged units",Would not recommend,Lower cost,Yes,I don’t know,photo_097.jpg,9.200986709,7.240617204,512.8702924,15.20734682
ID-098,Workshop,Golden Foods,"Abuja FCT, Nigeria",Repair/Services,,More than 20,,"₦50,000–₦250,000",Fossil generator,0–4,2–4 hours,"₦3,000–₦5,000","₦1,000–₦3,000",Very dissatisfied,Insufficient capacity to power all devices,"Fridge, Fan, TV, POS terminal",100 W,1–3 times per week,"₦5,000",₦300,POS/Mobile App,Weekly,Rent an additional battery,Slightly appealing,Reliable service (24/7 availability),Insufficient capacity to power all devices,Would not recommend,Faster exchange,Yes,-,photo_098.jpg,9.144998898,7.239825583,539.1921852,17.52962754
ID-099,MSME,Royal Mart,"Abuja FCT, Nigeria",Mobile Trader,,5-Feb,,"Above ₦1,000,000",Mixed sources,5–10,More than 6 hours,"More than ₦5,000","₦3,000–₦5,000",Satisfied,Noise or pollution (if using generator),"Machinery, Lights, Fridge, TV, POS terminal",2000 W,Every day,"₦3,000",₦300,Bank transfer,Monthly,Rent an additional battery,Not appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus, Ability to charge/discharge flexibly","Maintenance/damage responsibility, Insufficient capacity to power all devices, High daily cost compared to current method",Would not recommend,Better monitoring,Yes,-,photo_099.jpg,9.200932292,7.337374778,520.9482858,17.62957749
ID-100,Shop,Metro Collections,"Abuja FCT, Nigeria",Office/Consulting,,20-Nov,,"₦250,000–₦500,000",Solar,0–4,2–4 hours,"₦1,000–₦3,000","₦1,000–₦3,000",Satisfied,Insufficient capacity to power all devices,"Lights, Machinery",500 W,4–6 times per week,"₦7,000",₦500,POS/Mobile App,Weekly,Switch back to current method,Appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability), Ability to charge/discharge flexibly","High daily cost compared to current method, Maintenance/damage responsibility",Probably would recommend,More flexibility,No,None,photo_100.jpg,9.358929657,7.565078735,519.3001415,19.40231668
ID-101,MSME,Metro Foods,"Abuja FCT, Nigeria",Restaurant/Catering,,More than 20,,"Above ₦1,000,000",None,11–18,More than 6 hours,"More than ₦5,000","More than ₦5,000",Very dissatisfied,Insufficient capacity to power all devices,"Mobile phone charger, Machinery, POS terminal, TV, Fan",1000 W,Rarely,"₦5,000",₦300,Bank transfer,Weekly,Top up with generator/fuel,Appealing,"Lower rental cost due to shared surplus, Ability to charge/discharge flexibly, Reliable service (24/7 availability)","Maintenance/damage responsibility, Unreliable availability of charged units, High daily cost compared to current method",Would not recommend,Better monitoring,No,I don’t know,photo_101.jpg,9.447254745,7.441515365,549.4411505,13.4311936
ID-102,Household (non-business),,"Abuja FCT, Nigeria",Workshop,7,,"₦50,000–₦100,000",,None,0–4,2–4 hours,"₦1,000–₦3,000","More than ₦5,000",Very satisfied,Unreliable availability of charged units,"Fan, Mobile phone charger, TV, Lights, POS terminal",2000 W,4–6 times per week,"₦6,000",₦300,POS/Mobile App,Daily,Rent an additional battery,Slightly appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability)","Maintenance/damage responsibility, Unreliable availability of charged units",Would not recommend,None,No,None,photo_102.jpg,9.538487896,7.625989306,523.9633363,15.02519979
ID-103,Shop,Capital Tech,"Abuja FCT, Nigeria",Mobile Trader,,Just me (sole proprietor),,"Above ₦1,000,000",Fossil generator,11–18,2–4 hours,"₦1,000–₦3,000","₦3,000–₦5,000",Very dissatisfied,Insufficient capacity to power all devices,"Lights, TV, Machinery",200 W,4–6 times per week,"₦7,000",₦1000,Bank transfer,Daily,Switch back to current method,Appealing,"Lower rental cost due to shared surplus, Ability to charge/discharge flexibly, Reliable service (24/7 availability)","Insufficient capacity to power all devices, Unreliable availability of charged units, Maintenance/damage responsibility",Definitely would recommend,Lower cost,Yes,None,photo_103.jpg,9.599378146,7.223092078,530.453356,10.22379223
ID-104,Household (non-business),,"Abuja FCT, Nigeria",Workshop,3,,"₦100,000–₦200,000",,None,5–10,Daily outages,"More than ₦5,000","More than ₦5,000",Satisfied,Noise or pollution (if using generator),"Fridge, POS terminal, TV, Machinery, Fan",2000 W,Rarely,"₦5,000",₦300,Bank transfer,Daily,Switch back to current method,Appealing,Lower rental cost due to shared surplus,"Difficulty/delay in exchanging batteries, High daily cost compared to current method, Unreliable availability of charged units",Would not recommend,None,Yes,Beyond,photo_104.jpg,9.432909746,7.715252432,518.3898479,18.23389113
ID-105,Shop,Golden Collections,"Abuja FCT, Nigeria",Mobile Trader,,More than 20,,"₦50,000–₦250,000",National Grid,0–4,Daily outages,"More than ₦5,000","₦3,000–₦5,000",Very dissatisfied,Insufficient capacity to power all devices,"Fan, Machinery",100 W,4–6 times per week,"₦6,000",₦500,Cash,Monthly,Rent an additional battery,Not appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability), Ability to charge/discharge flexibly","High daily cost compared to current method, Unreliable availability of charged units",Definitely would recommend,None,Yes,None,photo_105.jpg,9.086251569,7.610642066,518.4852191,13.27583997
ID-106,Workshop,Metro Foods,"Abuja FCT, Nigeria",Retail Shop,,20-Nov,,"₦250,000–₦500,000",Solar,5–10,2–4 hours,"More than ₦5,000","₦3,000–₦5,000",Very dissatisfied,Unreliable availability of charged units,"Lights, POS terminal",1000 W,Every day,"₦6,000",₦300,Bank transfer,Daily,Rent an additional battery,Slightly appealing,Ability to charge/discharge flexibly,"Maintenance/damage responsibility, Insufficient capacity to power all devices",Would not recommend,Faster exchange,No,-,photo_106.jpg,9.298245273,7.324773845,526.7575637,18.01684638
ID-107,MSME,Bright Collections,"Abuja FCT, Nigeria",Restaurant/Catering,,More than 20,,"₦500,000–₦1,000,000",None,11–18,More than 6 hours,"More than ₦5,000","₦1,000–₦3,000",Dissatisfied,Unreliable availability of charged units,"TV, Fan, POS terminal, Mobile phone charger",300 W,Every day,"₦3,000",₦1000,Bank transfer,Pay-as-you-use,Switch back to current method,Moderately appealing,Lower rental cost due to shared surplus,"Difficulty/delay in exchanging batteries, Insufficient capacity to power all devices, Maintenance/damage responsibility",Would not recommend,Better monitoring,No,None,photo_107.jpg,9.525611807,7.320713444,510.009841,18.3165957
ID-108,Household (non-business),,"Abuja FCT, Nigeria",Repair/Services,4,,"₦100,000–₦200,000",,National Grid,5–10,Daily outages,"₦1,000–₦3,000","More than ₦5,000",Very satisfied,High daily cost compared to current method,"TV, Machinery, Fan, Fridge, Lights",100 W,1–3 times per week,"₦5,000",₦1000,Bank transfer,Weekly,Top up with generator/fuel,Moderately appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability), Ability to charge/discharge flexibly","Maintenance/damage responsibility, Unreliable availability of charged units, High daily cost compared to current method",Probably would recommend,Better monitoring,No,Beyond,photo_108.jpg,9.009431041,7.520506314,511.9313506,11.57269383
ID-109,Shop,Bright Mart,"Abuja FCT, Nigeria",Workshop,,More than 20,,"₦250,000–₦500,000",National Grid,5–10,More than 6 hours,"₦3,000–₦5,000","₦1,000–₦3,000",Very dissatisfied,High daily cost compared to current method,"Fan, TV",300 W,4–6 times per week,"₦7,000",₦1000,POS/Mobile App,Daily,Switch back to current method,Appealing,Lower rental cost due to shared surplus,Unreliable availability of charged units,Probably would recommend,Better monitoring,No,None,photo_109.jpg,9.42284134,7.379939845,505.3646397,13.05321882
ID-110,Shop,Royal Foods,"Abuja FCT, Nigeria",Repair/Services,,Just me (sole proprietor),,"₦250,000–₦500,000",National Grid,0–4,Daily outages,"₦3,000–₦5,000","More than ₦5,000",Satisfied,Insufficient capacity to power all devices,"POS terminal, Fan, Lights, Fridge, Machinery",300 W,1–3 times per week,"₦6,000",₦500,Bank transfer,Weekly,Rent an additional battery,Moderately appealing,"Lower rental cost due to shared surplus, Ability to charge/discharge flexibly, Reliable service (24/7 availability)","High daily cost compared to current method, Maintenance/damage responsibility, Difficulty/delay in exchanging batteries",Definitely would recommend,Better monitoring,Yes,Beyond,photo_110.jpg,9.10962856,7.556988447,517.5396147,17.896722
ID-111,Shop,Top Solutions,"Abuja FCT, Nigeria",Workshop,,5-Feb,,"₦250,000–₦500,000",Fossil generator,11–18,2–4 hours,"₦1,000–₦3,000","More than ₦5,000",Very dissatisfied,Insufficient capacity to power all devices,"Fan, Mobile phone charger, Lights, Machinery, TV",200 W,1–3 times per week,"₦7,000",₦300,Cash,Pay-as-you-use,Rent an additional battery,Appealing,"Lower rental cost due to shared surplus, Ability to charge/discharge flexibly","Maintenance/damage responsibility, Insufficient capacity to power all devices, High daily cost compared to current method",Would not recommend,Lower cost,Yes,-,photo_111.jpg,9.457728878,7.446552779,531.1828011,13.3619624
ID-112,Household (non-business),,"Abuja FCT, Nigeria",Restaurant/Catering,4,,"₦50,000–₦100,000",,Fossil generator,5–10,More than 6 hours,"₦1,000–₦3,000","₦1,000–₦3,000",Satisfied,Unreliable availability of charged units,"POS terminal, Mobile phone charger, Fan, Machinery, Lights",2000 W,4–6 times per week,"₦3,000",₦1000,Bank transfer,Monthly,Top up with generator/fuel,Appealing,"Ability to charge/discharge flexibly, Reliable service (24/7 availability), Lower rental cost due to shared surplus","High daily cost compared to current method, Difficulty/delay in exchanging batteries",Definitely would recommend,More flexibility,No,I don’t know,photo_112.jpg,9.586498018,7.298244994,528.9093265,16.14038156
ID-113,MSME,Green Ventures,"Abuja FCT, Nigeria",Office/Consulting,,10-Jun,,"₦250,000–₦500,000",Fossil generator,5–10,Daily outages,"₦3,000–₦5,000","₦3,000–₦5,000",Satisfied,Unreliable availability of charged units,"Lights, Fan, POS terminal, Mobile phone charger",500 W,Rarely,"₦6,000",₦500,Bank transfer,Daily,Top up with generator/fuel,Not appealing,"Ability to charge/discharge flexibly, Lower rental cost due to shared surplus, Reliable service (24/7 availability)","Maintenance/damage responsibility, Insufficient capacity to power all devices",Probably would recommend,More flexibility,Yes,I don’t know,photo_113.jpg,9.418616725,7.5510433,510.5741552,19.94548724
ID-114,Shop,Unity Mart,"Abuja FCT, Nigeria",Office/Consulting,,20-Nov,,"₦250,000–₦500,000",National Grid,0–4,2–4 hours,"More than ₦5,000","More than ₦5,000",Very dissatisfied,Noise or pollution (if using generator),"TV, Fridge, POS terminal, Lights",100 W,Every day,"₦5,000",₦300,Cash,Pay-as-you-use,Top up with generator/fuel,Appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability)",Unreliable availability of charged units,Definitely would recommend,More flexibility,Yes,I don’t know,photo_114.jpg,9.566963119,7.644911374,527.1546318,17.74962944
ID-115,Shop,Prime Foods,"Abuja FCT, Nigeria",Retail Shop,,20-Nov,,"Above ₦1,000,000",Mixed sources,11–18,2–4 hours,"₦3,000–₦5,000","₦1,000–₦3,000",Very satisfied,Unreliable availability of charged units,"TV, Lights, Machinery",300 W,1–3 times per week,"₦6,000",₦500,POS/Mobile App,Daily,Switch back to current method,Appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability)","High daily cost compared to current method, Maintenance/damage responsibility, Difficulty/delay in exchanging batteries",Definitely would recommend,Lower cost,No,None,photo_115.jpg,9.274867936,7.275748383,540.5522077,19.93517292
ID-116,Shop,Bright Tech,"Abuja FCT, Nigeria",Restaurant/Catering,,20-Nov,,"₦250,000–₦500,000",None,11–18,More than 6 hours,"More than ₦5,000","₦3,000–₦5,000",Very satisfied,Insufficient capacity to power all devices,"Lights, Machinery, Fan, Mobile phone charger",1000 W,Rarely,"₦5,000",₦1000,Bank transfer,Daily,Top up with generator/fuel,Appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus, Ability to charge/discharge flexibly",Insufficient capacity to power all devices,Probably would recommend,More flexibility,Yes,I don’t know,photo_116.jpg,9.119977076,7.291721844,519.1091337,18.39513753
